accruedInterest,canBeTraded,creditTrend,currentPaymentStatus,grade,interestPending,interestRate,interestReceived,issueDate,lastPaymentDate,loanAmount,loanId,loanLength,loanStatus,loanStatusDate,nextPaymentDate,noteAmount,noteId,orderDate,orderId,paymentsReceived,portfolioId,portfolioName,principalPending,principalReceived,purpose
0.09,True,UP,Completed,C4,0.0,14.49,2.59,2014-05-13 00:00:00,2015-02-20 15:16:56,13725,14640478,60,Current,2014-06-13 00:00:00,2015-03-19 00:00:00,25,47586051,2014-05-13 00:00:00,23512137,5.29,546367,Loan Portfolio,22.3,2.7,Debt consolidation
0.14,True,UP,Completed,C3,0.0,14.64,2.49,2014-05-05 00:00:00,2015-02-11 10:35:39,35000,15330513,36,Current,2014-06-05 00:00:00,2015-03-12 00:00:00,25,45965474,2014-04-23 00:00:00,22262046,7.76,546367,Loan Portfolio,19.73,5.27,Debt consolidation
0.17,True,DOWN,Completed,D2,0.0,16.29,2.5,2014-06-06 00:00:00,2015-02-11 10:47:02,10175,18945009,36,Current,2014-07-03 00:00:00,2015-03-12 00:00:00,25,49406969,2014-06-05 00:00:00,26690873,7.06,546367,Loan Portfolio,20.44,4.56,Debt consolidation
0.19,True,UP,Completed,C5,0.0,14.99,2.04,2014-07-02 00:00:00,2015-02-05 13:00:38,24500,19186238,36,Current,2014-08-01 00:00:00,2015-03-06 00:00:00,25,51081196,2014-06-24 00:00:00,28172344,6.07,546367,Loan Portfolio,20.97,4.03,Credit card refinancing
0.13,True,DOWN,Completed,C1,0.0,12.99,1.29,2014-09-08 00:00:00,2015-02-12 11:04:01,25925,20518664,36,Current,2014-10-07 00:00:00,2015-03-12 00:00:00,25,56856738,2014-09-04 00:00:00,35992469,4.21,546367,Loan Portfolio,22.08,2.92,Credit card refinancing
0.06,True,UP,Completed,C5,0.0,14.99,2.04,2014-07-17 00:00:00,2015-02-20 15:09:30,17375,21180237,36,Current,2014-08-15 00:00:00,2015-03-23 00:00:00,25,52847846,2014-07-15 00:00:00,30600713,6.07,546367,Loan Portfolio,20.97,4.03,Credit card refinancing
0.06,True,DOWN,Completed,B4,0.0,11.67,1.16,2014-09-15 00:00:00,2015-02-20 16:04:50,24000,26390707,36,Current,2014-10-14 00:00:00,2015-03-19 00:00:00,25,56856740,2014-09-04 00:00:00,35992469,4.13,546367,Loan Portfolio,22.03,2.97,Debt consolidation
0.18,True,DOWN,Completed,B5,0.0,12.49,1.0,2014-10-01 00:00:00,2015-02-05 12:25:14,14400,27641151,36,Current,2014-10-31 00:00:00,2015-03-05 00:00:00,25,58037202,2014-09-19 00:00:00,38200766,3.34,546367,Loan Portfolio,22.66,2.34,Debt consolidation
0.12,True,UP,Completed,C2,0.0,13.35,1.03,2014-10-10 00:00:00,2015-02-13 13:04:28,35000,30165331,36,Current,2014-11-07 00:00:00,2015-03-16 00:00:00,25,59618269,2014-10-06 00:00:00,40581080,3.34,546367,Loan Portfolio,22.69,2.31,Debt consolidation
0.38,True,FLAT,Completed,D5,0.37,18.24,1.11,2014-10-08 00:00:00,2015-02-19 11:14:05,30000,30225549,36,Late (31-120 days),2015-02-20 00:00:00,2015-02-27 00:00:00,25,59618270,2014-10-06 00:00:00,40581080,2.24,546367,Loan Portfolio,23.87,1.13,Debt consolidation
0.08,True,UP,Completed,C3,0.0,13.66,0.8,2014-11-06 00:00:00,2015-02-20 15:22:00,20000,33420841,36,Current,2014-12-12 00:00:00,2015-03-19 00:00:00,25,62081130,2014-11-03 00:00:00,45961241,2.51,546367,Loan Portfolio,23.28,1.72,Debt consolidation
0.24,True,UP,Completed,B5,0.0,11.99,0.47,2014-11-25 00:00:00,2015-01-29 11:28:56,8000,34382355,36,Current,2014-12-24 00:00:00,2015-03-03 00:00:00,25,63433226,2014-11-18 00:00:00,48041199,1.64,546367,Loan Portfolio,23.83,1.17,Debt consolidation
0.18,True,FLAT,Completed,C5,0.0,14.99,0.9,2014-11-05 00:00:00,2015-02-10 10:37:07,6000,34382915,36,Current,2014-12-04 00:00:00,2015-03-11 00:00:00,25,62081131,2014-11-03 00:00:00,45961241,2.58,546367,Loan Portfolio,23.32,1.68,Debt consolidation
0.19,True,DOWN,Completed,D4,0.0,17.14,0.99,2014-11-07 00:00:00,2015-02-12 10:28:16,3250,34472951,36,Current,2014-12-05 00:00:00,2015-03-12 00:00:00,25,62081133,2014-11-03 00:00:00,45961241,2.62,546367,Loan Portfolio,23.37,1.63,Debt consolidation
0.35,True,UP,Completed,D1,0.31,15.59,0.62,2014-11-05 00:00:00,2015-01-23 13:18:12,10725,34512373,36,Current,2014-12-19 00:00:00,2015-02-26 00:00:00,25,62081134,2014-11-03 00:00:00,45961241,1.73,546367,Loan Portfolio,23.89,1.11,Debt consolidation
0.28,True,UP,Completed,C1,0.25,12.39,0.48,2014-11-20 00:00:00,2015-01-23 13:08:12,35000,35793898,36,Current,2014-12-19 00:00:00,2015-02-26 00:00:00,25,63433227,2014-11-18 00:00:00,48041199,1.64,546367,Loan Portfolio,23.84,1.16,Debt consolidation
0.14,True,DOWN,Completed,B2,0.0,9.49,0.17,2015-01-02 00:00:00,2015-02-05 12:17:08,10000,36803810,36,Current,2015-01-30 00:00:00,2015-03-06 00:00:00,25,65241000,2014-12-16 00:00:00,50532350,0.77,546367,Loan Portfolio,24.4,0.6,Credit card refinancing
0.17,True,UP,Completed,B4,0.0,11.44,0.21,2015-01-02 00:00:00,2015-02-05 13:00:10,20000,37681784,36,Current,2015-01-30 00:00:00,2015-03-06 00:00:00,25,65241001,2014-12-16 00:00:00,50532350,0.79,546367,Loan Portfolio,24.41,0.59,Debt consolidation
0.19,True,UP,Completed,B4,0.0,11.44,0.21,2014-12-30 00:00:00,2015-02-04 11:24:47,13000,37681948,36,Current,2015-01-29 00:00:00,2015-03-05 00:00:00,25,65241002,2014-12-16 00:00:00,50532350,0.8,546367,Loan Portfolio,24.41,0.59,Debt consolidation
0.18,True,UP,Completed,B3,0.0,10.49,0.2,2014-12-30 00:00:00,2015-02-04 11:25:06,18700,37701472,36,Current,2015-01-29 00:00:00,2015-03-05 00:00:00,25,65241003,2014-12-16 00:00:00,50532350,0.79,546367,Loan Portfolio,24.41,0.59,Debt consolidation
0.16,True,DOWN,Completed,B2,0.0,9.49,0.18,2014-12-30 00:00:00,2015-02-04 11:16:46,17500,37761825,36,Current,2015-01-29 00:00:00,2015-03-05 00:00:00,25,65241004,2014-12-16 00:00:00,50532350,0.95,546367,Loan Portfolio,24.23,0.77,Debt consolidation
